Database,TF,TargetGene,Tissue,Experiment
SPP,CTCF,ACOT2,skin,"CTCF IP - AG09309 cells, Rep 2 , CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHEK cells "
SPP,CTCF,ACOT2,stemcells,"CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 2 , CTCF IP - Rep 4 , CTCF IP - Rep 5 , CTCF IP - Rep 6 , CTCF IP - Rep 1 , CTCF IP - Rep 7 , CTCF IP - Rep 3 "
SPP,HIF1A,ACOT2,bone,HIF1A IP
SPP,ERG,ACOT2,prostate,"DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 2 h"
SPP,DHT,ACOT2,prostate,"DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, DHT | FOXP1 ChIP-Seq"
SPP,CEBPB,ACOT2,stemcells,"CEBPB IP - H1 cells, CEBPB IP, CEBPB IP, CEBPB IP"
SPP,CTCF,ACOT2,vasculature,"CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - AoAFC cells, Rep 1 "
SPP,CTCF,ACOT2,leukocytes,"CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM11811 cells, Rep 2, CTCF IP - KU812 cells, Rep 9 , CTCF IP - U-937 cells, Rep 1 , CTCF IP - F36P cells, Rep 1 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM11992 cells, Rep 2, CTCF IP - GM12868 cells , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - K562 cells, Rep 1 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM06986 cells, CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - K562 cells, Rep 16 , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - K562 cells, Rep 9 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM12006 cells, Rep 1, CTCF IP - GM12866 cells , CTCF IP - GM12815 cells, Rep 2, CTCF IP - F36P cells, Rep 11 , CTCF IP - F36P cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM11881 cells, CTCF IP - GM12155 cells, Rep 2, CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - F36P cells, Rep 17 , CTCF IP - Â CD20+ cells , CTCF IP - GM12828 cells, CTCF IP - K562 cells, CTCF IP - NB4 cells , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM12005 cells, Rep 1, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM12005 cells, Rep 2, CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12867 cells , CTCF IP - GM12878 cells , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12870 cells , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - K562 cells, Rep 15 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12749 cells, Rep 2, CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF ChIP-Seq - GM12878, CTCF IP - GM11811 cells, Rep 1, CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM12287 cells, Rep 2, CTCF IP - GM12006 cells, Rep 2, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12489 cells, Rep 1, CTCF IP - GM12874 cells, Rep 1 , CTCF IP - K562 cells, Rep 2 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - GM12234 cells, CTCF IP - GM12749 cells, Rep 1, CTCF IP - GM2255 cells, Rep 3 , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM12287 cells, Rep 1, CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - F36P cells, Rep 14 , CTCF IP - K562 cells, CTCF IP - K562 cells , CTCF IP - GM12155 cells, Rep 1, CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - HL , CTCF IP - UT-7 cells, Rep 6 , CTCF IP - GM07037 cells, CTCF IP - K562 cells, Rep 13 , CTCF IP - GM07346 cells, CTCF IP - Â DND , CTCF IP - F36P cells, Rep 2 , CTCF IP - CD14+ cells , CTCF IP - GM12489 cells, Rep 2, CTCF IP - GM18526 cells, Rep 1 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM11831 cells, CTCF IP - F36P cells, Rep 15 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12869 cells , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12872 cells, CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM12865 cells, Rep 3 , CTCF IP, CTCF IP - K562 cells, Rep 3 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - F36P cells, Rep 10 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - GM2255 cells, Rep 1 , CTCF IP - F36P cells, Rep 9 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - GM12874 cells, CTCF IP - GM12864 cells, Rep 1 , CTCF IP - K562 cells, Rep 11 "
SPP,JUND,ACOT2,vasculature,JUND IP
SPP,CREB1,ACOT2,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl"
