,Database,TF,TargetGene,Tissue,Experiment
0,SPP,CTCF,LPCAT3,sensory,"CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI , CTCF IP - HRPEpiC cells, Rep 2 "
1,SPP,MAZ,LPCAT3,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
2,SPP,CTCF,LPCAT3,leukocytes,"CTCF IP - GM12872 cells, CTCF IP - KU812 cells, Rep 13 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM12869 cells , CTCF IP - GM12874 cells, CTCF IP - GM11831 cells, CTCF IP - GM12865 cells, Rep 3 , CTCF IP - UT-7 cells, Rep 5 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM12815 cells, Rep 1, CTCF IP - F36P cells, Rep 15 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - GM11992 cells, Rep 2, CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - F36P cells, Rep 9 , CTCF IP - GM12868 cells , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - K562 cells, Rep 9 , CTCF IP - GM12006 cells, Rep 1, CTCF IP - GM11811 cells, Rep 2, CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - F36P cells, Rep 1 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12878 cells , CTCF IP - GM12814 cells, Rep 1, CTCF IP - F36P cells, Rep 7 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - F36P cells, Rep 3 , CTCF IP - GM11894 cells, Rep 2, CTCF IP - GM11881 cells, CTCF IP - GM12866 cells , CTCF IP - F36P cells, Rep 11 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM06986 cells, CTCF IP - GM12005 cells, Rep 1, CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - F36P cells, Rep 17 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM12867 cells , CTCF IP - GM12155 cells, Rep 2, CTCF IP - GM12870 cells , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM12828 cells, CTCF IP - GM12005 cells, Rep 2, CTCF IP - K562 cells, CTCF IP - GM12878 cells, Rep 1 , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM12234 cells, CTCF IP - GM11811 cells, Rep 1, CTCF IP - GM2255 cells, Rep 1 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM12489 cells, Rep 1, CTCF IP - K562 cells, Rep 15 , CTCF ChIP-Seq - GM12878, CTCF IP - GM12749 cells, Rep 2, CTCF IP - GM19240 cells, Rep 2 , CTCF IP -  CD20+ cells , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - NB4 cells , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP -  DND , CTCF IP - GM18486 cells, Rep 2 , CTCF IP - K562 cells, Rep 2 , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP - GM12871 cells , CTCF IP - F36P cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - K562 cells , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - F36P cells, Rep 14 , CTCF IP - GM07037 cells, CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM12006 cells, Rep 2, CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM12749 cells, Rep 1, CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM07346 cells, CTCF IP - K562 cells, CTCF IP - K562 cells, CTCF IP - GM12864 cells, Rep 2 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - HL , CTCF IP - GM12154 cells, Rep 2, CTCF IP, CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - F36P cells, Rep 10 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - CD14+ cells , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - HL-60 cells, Rep 9 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 6 "
3,SPP,FOXA2,LPCAT3,embryonictissue,FOXA2 IP - Rep 2
4,SPP,CTCF,LPCAT3,skin,"CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - NHEK cells , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - HFFC cells, Rep 1 , CTCF IP - AG09309 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - BJ cells, Rep 1 , CTCF IP - BJ cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 "
5,SPP,RELA,LPCAT3,leukocytes,"RELA IP | TNF - GM18951 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19193 cells"
6,SPP,TNF,LPCAT3,leukocytes,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM19193 cells"
7,SPP,SPI1,LPCAT3,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP"
8,SPP,TEAD4,LPCAT3,colon,TEAD4 IP - HCT116 cells
9,SPP,IRF4,LPCAT3,leukocytes,"IRF4 IP - GM12878 cells, IRF4 IP"
