classification,metabolites,Chebi,kegg,PubChem,Lipidmaps,Notation
lipid_species,"(11Z,14Z)-Icosadienoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=76534,,,,"C20:2-CoA (11Z,14Z)"
lipid_species,"(11Z,14Z,17Z)-Icosatrienoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=74606,,,,"C20:3-CoA (11Z,14Z,17Z)"
lipid_species,"(5Z,8Z,11Z)-Icosatrienoyl-CoA",,http://www.genome.jp/dbget-bin/www_bget?C21939,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131802076,,"C20:3-CoA (5Z,8Z,11Z)"
lipid_species,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63539,,,,"C20:5-CoA (5Z,8Z,11Z,14Z,17Z)"
lipid_species,"(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63541,http://www.genome.jp/dbget-bin/www_bget?C21937,,,"C22:5-CoA (7Z,10Z,13Z,16Z,19Z)"
lipid_species,"(8Z,11Z)-Icosadienoyl-CoA",,http://www.genome.jp/dbget-bin/www_bget?C21937,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=376218970,,"C20:2-CoA (8Z,11Z)"
lipid_species,"(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63542,http://www.genome.jp/dbget-bin/www_bget?C16164,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=56928013,,"C20:4-CoA (8Z,11Z,14Z,17Z)"
lipid_class,beta-Galactosylceramide,https://www.ebi.ac.uk/chebi/CHEBI:143593,,,,b-D-GalCer
lipid_derivative,"11b,17a,21-Trihydroxypregnenolone",https://www.ebi.ac.uk/chebi/CHEBI:171954,http://www.genome.jp/dbget-bin/www_bget?C05489,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440708,,"11b,17a,21-Trihydroxypregnenolone"
lipid_derivative,11beta-Hydroxyprogesterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28247,http://www.genome.jp/dbget-bin/www_bget?C05498, ,,11b-Hydroxyprogesterone
lipid_derivative,11-Dehydrocorticosterone,,http://www.genome.jp/dbget-bin/www_bget?C05490,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13783449,,dehydrocorticosterone
lipid_derivative,11-dehydro-TXB2,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28667,http://www.genome.jp/dbget-bin/www_bget?C05964,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440707,,11-dehydro-TXB2
lipid_derivative,11-Deoxycorticosterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16973,http://www.genome.jp/dbget-bin/www_bget?C03205,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6166,,deoxycorticosterone
lipid_derivative,11-Deoxycortisol,https://www.ebi.ac.uk/chebi/CHEBI:28324,http://www.genome.jp/dbget-bin/www_bget?C05488,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440707,,Deoxycortisol
lipid_derivative,11epi-PGF2alpha,https://www.ebi.ac.uk/chebi/CHEBI:27595,https://www.genome.jp/dbget-bin/www_bget?C05959,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53480669,,11-epi-PGF2a
lipid_derivative,11-Hydroxyoctadecadienoic-acid(11-HODE),https://www.ebi.ac.uk/chebi/CHEBI:137305,,,,11-HODE
lipid_derivative,"11-OH-12,13-EpOME",,,,https://www.lipidmaps.org/databases/lmsd/LMFA02000468,"11-OH-12,13-EpOME"
lipid_derivative,12(13)-EpOME,https://www.ebi.ac.uk/chebi/CHEBI:38299,,,,12(13)-EpOME
lipid_derivative,"12,14,15-epoxyeicosatrienoic acid(12,14,15-EET)",NA,NA,NA,NA,"12,14,15-EET"
lipid_derivative,12R-hydroperoxy-eicosatetraenoic acid(12R-HpETE),https://www.ebi.ac.uk/chebi/CHEBI:34145,,https://pubchem.ncbi.nlm.nih.gov/compound/9548885,,12R-HpETE
lipid_derivative,12S-hydro-eicosatetraenoic acid(12S-HETE),https://www.ebi.ac.uk/chebi/CHEBI:34146,,https://pubchem.ncbi.nlm.nih.gov/compound/5283155,,12S-HETE
lipid_derivative,12S-hydroperoxy-eicosatetraenoic acid(12S-HpETE),https://www.ebi.ac.uk/chebi/CHEBI:15626,,https://pubchem.ncbi.nlm.nih.gov/compound/5280892,,12S-HpETE
lipid_derivative,"13,14-dihydro-15-keto-PGE2",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15550,http://www.genome.jp/dbget-bin/www_bget?C04671,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280711,,"13,14-dihydro-15-keto-PGE2"
lipid_derivative,"13,14-dihydro-15-keto-PGF2alpha",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63976,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5283039,,"13,14-dihydro-15-keto-PGF2a"
lipid_derivative,13-hpODE,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15655,http://www.genome.jp/dbget-bin/www_bget?C04717,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280720,,13-hpODE
lipid_derivative,13-Hydroxyoctadecadienoic-acid(13-HODE),http://www.ebi.ac.uk/chebi/searchId.do?chebiId=34154,http://www.genome.jp/dbget-bin/www_bget?C14762,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6443013,,13-HODE
lipid_species,1-3-hydroxy-tetracosahexaenoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=65130,,,,C24:6(OH)-CoA
lipid_species,1-3-oxo-tetracosahexaenoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=65131,http://www.genome.jp/dbget-bin/www_bget?C16376,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=70678653,,C24:6(oxo)-CoA
lipid_derivative,15d-PGD2,,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131769805,,15d-PGD2
lipid_derivative,15d-PGJ2,https://www.ebi.ac.uk/chebi/CHEBI:34159,http://www.genome.jp/dbget-bin/www_bget?C14717,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311211,,15d-PGJ2
lipid_derivative,15-keto-PGD2,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15557,http://www.genome.jp/dbget-bin/www_bget?C04758,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280727,,15-keto-PGD2
lipid_derivative,15-keto-PGE2,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15547,http://www.genome.jp/dbget-bin/www_bget?C04707,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280719,,15-keto-PGE2
lipid_derivative,15-keto-PGF2alpha,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28442,http://www.genome.jp/dbget-bin/www_bget?C05960,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280887,,15-keto-PGF2a
lipid_derivative,15-oxo-eicosatetraenoic acid(15-oxoETE),https://www.ebi.ac.uk/chebi/CHEBI:15559,,,,15-oxoETE
lipid_derivative,15R-hydroxyeicosatetraenoic acid (15R-HETE),https://www.ebi.ac.uk/chebi/CHEBI:63989,,,,15R-HETE
lipid_derivative,15S-hydroperoxyeicosatetraenoic acid(15S-HpETE),https://www.ebi.ac.uk/chebi/CHEBI:15628,,,,15S-HpETE
lipid_derivative,15S-hydroxyeicosatetraenoic acid(15S-HETE),https://www.ebi.ac.uk/chebi/CHEBI:15558,,,,15S-HpETE
lipid_derivative,16-hydroxyeicosatetraenoic acids,,,https://pubchem.ncbi.nlm.nih.gov/compound/22398293,,16-HETE
lipid_derivative,16-Hydroxyoctadecadienoic-acid(16-HODE),https://www.ebi.ac.uk/chebi/CHEBI:194441,,https://pubchem.ncbi.nlm.nih.gov/compound/168007645,,16-HODE
lipid_derivative,"17a,20a-Dihydroxycholesterol",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27832,,,,"17a,20a-diOH-Chol"
lipid_derivative,"17a,21-Dihydroxypregnenolone",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27832,,22398293,,"17a,21-diOH-Pregnenolone"
lipid_derivative,17a-Hydroxyallopregnanolone,https://www.ebi.ac.uk/chebi/CHEBI:194477,,,,17a-OH-Allopregnanolone
lipid_derivative,17a-Hydroxypregnenolone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28750,,,,17a-OH-Pregnenolone
lipid_derivative,17a-Hydroxyprogesterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=17252,,,,17a-OH-Progesterone
lipid_derivative,17-hydroxyeicosatetraenoic acids,,,https://pubchem.ncbi.nlm.nih.gov/compound/6442740,,16-HETE
lipid_derivative,17-Hydroxyoctadecadienoic-acid(17-HODE),NA,NA,NA,,17-HODE
lipid_derivative,18-Hydroxycorticosterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16485,,,,18-OH-Corticosterone
lipid_derivative,18-hydroxyeicosatetraenoic-acids,https://www.ebi.ac.uk/chebi/CHEBI:63579,,https://pubchem.ncbi.nlm.nih.gov/compound/18-Hete,,18-HETE
lipid_derivative,18-Hydroxyoctadecadienoic-acid(18-HODE),https://www.ebi.ac.uk/chebi/CHEBI:132472,,https://pubchem.ncbi.nlm.nih.gov/compound/19900865,,18-HODE
lipid_derivative,19-Hydroxyandrostenedione,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27576,,,,19-OH-Androstenedione
lipid_derivative,19-Hydroxytestosterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27406,,,,19-OH-Testosterone
lipid_derivative,19-Oxoandrostenedione,,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440622,,19-oxo-Androstenedione
