TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
AR,A4GALT,prostate,,,,WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq,,AR -> A4GALT,1,1,low,low
ATF2,A4GALT,leukocytes,,,,ATF2 IP - GM12878 cells,24076218,ATF2 -> A4GALT,1,1,low,low
BATF,A4GALT,leukocytes,,,,BATF IP - GM12878 cells,24076218,BATF -> A4GALT,1,1,low,low
BCL11A,A4GALT,leukocytes,,,,BCL11A IP - GM12878 cells,24076218,BCL11A -> A4GALT,1,1,low,low
BHLHE40,A4GALT,leukocytes,,,,BHLHE40 IP - GM12878 cells,24076218,BHLHE40 -> A4GALT,1,1,low,low
CEBPA,A4GALT,leukocytes,,,,CEBPA IP,24198249,CEBPA -> A4GALT,1,1,low,low
CEBPB,A4GALT,bone,,,,CEBPB IP,26111340,CEBPB -> A4GALT,6,6,medium,medium
CEBPB,A4GALT,leukocytes,,,,"CEBPB IP | oxLDL  - Rep 208, CEBPB IP",,CEBPB -> A4GALT,6,6,medium,medium
CEBPB,A4GALT,liver,,,,CEBPB ChIP-Seq - HepG2,,CEBPB -> A4GALT,6,6,medium,medium
CEBPB,A4GALT,lung,,,,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90",,CEBPB -> A4GALT,6,6,medium,medium
CEBPB,A4GALT,stemcells,,,,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP",,CEBPB -> A4GALT,6,6,medium,medium
CEBPB,A4GALT,uterus,,,,"CEBPB IP - ECC1 cells, CEBPB ChIP-Seq - HeLaS3",,CEBPB -> A4GALT,6,6,medium,medium
CREB1,A4GALT,leukocytes,,,,CREB1 IP - GM12878 cells,24076218,CREB1 -> A4GALT,1,1,low,low
CTCF,A4GALT,bone,,,,CTCF IP - Osteoblasts,22955616,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,esophagus,,,,"CTCF IP - HEEpiC cells, Rep 1",22955980,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,kidney,,,,"CTCF IP - RPTEC cells, Rep 1",22955980,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,leukocytes,,,,"CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP, CTCF IP - GM12873 cells, Rep 3 , CTCF IP -  CD20+ cells",22955980,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,lung,,,,"CTCF IP - SAEC cells, Rep 2",22955980,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,placenta,,,,"CTCF IP - HVMF cells, Rep 2",22955980,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,skin,,,,"CTCF IP - NHDF cells, Rep 1 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - NHDF cells",22955980,CTCF -> A4GALT,8,8,high,high
CTCF,A4GALT,vasculature,,,,"CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1",22955980,CTCF -> A4GALT,8,8,high,high
E2F1,A4GALT,mammarygland,,,,"E2F1 IP - MCF7 cells, E2F1 IP",28411283,E2F1 -> A4GALT,1,1,low,low
E2F6,A4GALT,stemcells,,,,E2F6 IP - H1 cells,24076218,E2F6 -> A4GALT,1,1,low,low
EBF1,A4GALT,leukocytes,,,,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells",,EBF1 -> A4GALT,1,1,low,low
EGR1,A4GALT,leukocytes,,,,EGR1 IP - K562 cells,24076218,EGR1 -> A4GALT,1,1,low,low
ELF1,A4GALT,leukocytes,,,,ELF1 IP - SK-N-SH cells,,ELF1 -> A4GALT,1,1,low,low
ELF3,A4GALT,pancreas,,,,"ELF3 IP, ELF3 IP | KLF5 KO, ELF3 IP",26769127,ELF3 -> A4GALT,1,1,low,low
FOS,A4GALT,vasculature,,,,FOS IP - HUVEC cells,,FOS -> A4GALT,1,1,low,low
FOSL1,A4GALT,mammarygland,,,,FOSL1 IP,28411283,FOSL1 -> A4GALT,1,1,low,low
FOXA1,A4GALT,liver,,,,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1",,FOXA1 -> A4GALT,4,5,medium,medium
FOXA1,A4GALT,lung,,,,"FOXA1 IP - A549 cells, FOXA1 IP | DEX - A549 cells",,FOXA1 -> A4GALT,4,5,medium,medium
FOXA1,A4GALT,mammarygland,,,,"FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D cells, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 IP - T47D, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2",,FOXA1 -> A4GALT,4,5,medium,medium
FOXA1,A4GALT,pancreas,,,,"FOXA1 IP | KLF5 KO, FOXA1 IP, FOXA1 IP",,FOXA1 -> A4GALT,4,5,medium,medium
FOXA1,A4GALT,prostate,,,,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq -",24875621,FOXA1 -> A4GALT,4,5,medium,medium
FOXA2,A4GALT,embryonictissue,,,,FOXA2 IP - Rep 2,,FOXA2 -> A4GALT,3,4,low,medium
FOXA2,A4GALT,liver,,,,FOXA2 IP - HepG2 cells,,FOXA2 -> A4GALT,3,4,low,medium
FOXA2,A4GALT,lung,,,,FOXA2 IP - A549 cells,,FOXA2 -> A4GALT,3,4,low,medium
FOXA2,A4GALT,stemcells,,,,"FOXA2 IP - ES D5, FOXA2 IP - ES D10",,FOXA2 -> A4GALT,3,4,low,medium
GATA1,A4GALT,hspcs,,,,"GATA1 IP - Rep 2, GATA1 IP - PBDE cells, Rep 1, GATA1 IP - Rep 1, GATA1 IP - Rep 3",,GATA1 -> A4GALT,1,1,low,low
GATA3,A4GALT,mammarygland,,,,"GATA3 IP - MCF7 cells, GATA3 IP - T47D cells, GATA3 IP - MCF-7 cells",,GATA3 -> A4GALT,1,1,low,low
GATA4,A4GALT,stomach,,,,GATA4 IP - AGS,,GATA4 -> A4GALT,1,1,low,low
GATA6,A4GALT,stomach,,,,GATA6 IP - AGS,,GATA6 -> A4GALT,1,1,low,low
GTF2B,A4GALT,uterus,,,,GTF2B IP - Rep 2,,GTF2B -> A4GALT,1,1,low,low
HNF1B,A4GALT,pancreas,,,,HNF1B IP,,HNF1B -> A4GALT,1,1,low,low
IFNG,A4GALT,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min",,IFNG -> A4GALT,1,1,low,low
IKZF1,A4GALT,leukocytes,,,,IKZF1 IP - GM12878 cells,,IKZF1 -> A4GALT,1,1,low,low
IRF1,A4GALT,pancreas,,,,IRF1 IP,26769127,IRF1 -> A4GALT,1,1,low,low
IRF4,A4GALT,leukocytes,,,,"IRF4 IP - GM12878 cells, IRF4 IP",,IRF4 -> A4GALT,1,1,low,low
JUN,A4GALT,mammarygland,,,,"JUN IP - Rep 1, JUN IP - Rep 2",,JUN -> A4GALT,2,2,low,low
JUN,A4GALT,vasculature,,,,JUN IP - HUVEC cells,,JUN -> A4GALT,2,2,low,low
JUND,A4GALT,vasculature,,,,JUND IP,26020271,JUND -> A4GALT,1,1,low,low
KLF5,A4GALT,pancreas,,,,"ELF3 IP | KLF5 KO, KLF5 IP, FOXA1 IP | KLF5 KO",,KLF5 -> A4GALT,1,1,low,low
MAX,A4GALT,leukocytes,,,,MAX IP - GM12878 cells,,MAX -> A4GALT,2,2,low,low
MAX,A4GALT,stemcells,,,,MAX IP - H1 cells,,MAX -> A4GALT,2,2,low,low
MAZ,A4GALT,leukocytes,,,,MAZ IP - GM12878 cells,,MAZ -> A4GALT,1,1,low,low
MEF2A,A4GALT,leukocytes,,,,MEF2A IP - GM12878 cells,,MEF2A -> A4GALT,1,1,low,low
MEF2B,A4GALT,kidney,,,,MEF2B IP | MEF2B OE - Rep 2,,MEF2B -> A4GALT,1,1,low,low
MITF,A4GALT,skin,21258399,,,,,MITF -> A4GALT,1,1,low,low
MTA3,A4GALT,leukocytes,,,,MTA3 IP - GM12878 cells,,MTA3 -> A4GALT,1,1,low,low
MXI1,A4GALT,leukocytes,,,,MXI1 IP - GM12878 cells,,MXI1 -> A4GALT,1,1,low,low
MYB,A4GALT,leukocytes,,,,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 3",,MYB -> A4GALT,1,1,low,low
NFKB2,A4GALT,leukocytes,,,,"NFKB2 IP - Rep 2, NFKB2 IP - Rep 1",,NFKB2 -> A4GALT,1,1,low,low
PAX5,A4GALT,leukocytes,,,,"PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1, PAX5 IP - GM12891 cells, PAX5 IP - GM12878 cells, Rep 2",,PAX5 -> A4GALT,1,1,low,low
PBX3,A4GALT,leukocytes,,,,PBX3 IP - GM12878 cells,,PBX3 -> A4GALT,1,1,low,low
RELA,A4GALT,adiposetissue,,,,"RELA IP, RELA IP",,RELA -> A4GALT,2,2,low,low
RELA,A4GALT,leukocytes,,,,"RELA IP | TNF - GM19099 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12891 cells",,RELA -> A4GALT,2,2,low,low
SMAD1,A4GALT,hspcs,,,,"SMAD1 IP - Rep 2, SMAD1 IP - Rep 4, SMAD1 IP - Rep 1, SMAD1 IP - Rep 3",,SMAD1 -> A4GALT,1,1,low,low
SP1,A4GALT,leukocytes,,,,SP1 IP - GM12878 cells,24076218,SP1 -> A4GALT,1,1,low,low
SPI1,A4GALT,leukocytes,,,,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - GM12891 cells, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP",,SPI1 -> A4GALT,1,1,low,low
SRF,A4GALT,leukocytes,,,,SRF IP - SK-N-SH cells,,SRF -> A4GALT,1,1,low,low
STAT1,A4GALT,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min",,STAT1 -> A4GALT,1,1,low,low
STAT3,A4GALT,leukocytes,,,,"STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-6, STAT3 IP - U-2932",,STAT3 -> A4GALT,2,2,low,low
STAT3,A4GALT,mammarygland,,,,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP - MCF10A cells, Rep 2",,STAT3 -> A4GALT,2,2,low,low
TAL1,A4GALT,leukocytes,,,,"TAL1 IP - K562 cells, TAL1 IP - MOLT3",,TAL1 -> A4GALT,1,1,low,low
TBP,A4GALT,stemcells,,,,TBP IP - H1 cells,,TBP -> A4GALT,1,1,low,low
TCF12,A4GALT,leukocytes,,,,TCF12 IP - GM12878 cells,24076218,TCF12 -> A4GALT,3,3,low,low
TCF12,A4GALT,liver,,,,TCF12 IP - MCF7 cells,,TCF12 -> A4GALT,3,3,low,low
TCF12,A4GALT,uterus,,,,TCF12 IP - ECC1 cells,24076218,TCF12 -> A4GALT,3,3,low,low
TCF21,A4GALT,vasculature,,,,"TCF21 IP, TCF21 IP",,TCF21 -> A4GALT,1,1,low,low
TCF3,A4GALT,leukocytes,,,,TCF3 IP - GM12878 cells,24076218,TCF3 -> A4GALT,1,1,low,low
TCF7L2,A4GALT,uterus,,,,TCF7L2 IP - HeLa cells,,TCF7L2 -> A4GALT,1,1,low,low
TEAD4,A4GALT,leukocytes,,,,TEAD4 IP - K562 cells,,TEAD4 -> A4GALT,4,4,medium,medium
TEAD4,A4GALT,lung,,,,TEAD4 IP - A549 cells,,TEAD4 -> A4GALT,4,4,medium,medium
TEAD4,A4GALT,stemcells,,,,TEAD4 IP - H1 cells,,TEAD4 -> A4GALT,4,4,medium,medium
TEAD4,A4GALT,uterus,,,,TEAD4 IP - ECC1 cells,,TEAD4 -> A4GALT,4,4,medium,medium
TNF,A4GALT,leukocytes,,,,"RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM10847 cells, RELA IP | TNF - GM19193 cells, RELA IP | TNF - GM12891 cells",,TNF -> A4GALT,2,2,low,low
TP53,A4GALT,lung,,,,"TP53 IP - propapoptic, Rep 1",,TP53 -> A4GALT,2,2,low,low
TP53,A4GALT,mammarygland,,,,"TP53 IP, TP53 IP | NUTL3 - MCF-7",,TP53 -> A4GALT,2,2,low,low
TP63,A4GALT,prostate,23658742,,,,,TP63 -> A4GALT,1,1,low,low
UBTF,A4GALT,leukocytes,,,,UBTF IP - K562 cells,,UBTF -> A4GALT,1,1,low,low
USF1,A4GALT,leukocytes,,,,USF1 IP - GM12878 cells,24076218,USF1 -> A4GALT,1,1,low,low
USF2,A4GALT,leukocytes,,,,USF2 IP - GM12878 cells,,USF2 -> A4GALT,1,1,low,low
YY1,A4GALT,leukocytes,,,,YY1 IP - GM12878 cells,24076218,YY1 -> A4GALT,1,1,low,low
ZBTB7A,A4GALT,uterus,,,,ZBTB7A IP - ECC1 cells,24076218,ZBTB7A -> A4GALT,1,1,low,low
ZEB1,A4GALT,leukocytes,,,,ZEB1 IP - GM12878 cells,,ZEB1 -> A4GALT,1,1,low,low
ZNF263,A4GALT,kidney,,,,ZNF263 IP - HEK293 cells,,ZNF263 -> A4GALT,1,1,low,low
ZNF384,A4GALT,leukocytes,,,,ZNF384 IP - GM12878 cells,,ZNF384 -> A4GALT,1,1,low,low
TNF,A4GALT,mammarygland,,,,17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2,,TNF -> A4GALT,2,2,low,low
ASCL1,AACS,skin,,,,ASCL1 IP - NHDF,24243019,ASCL1 -> AACS,1,1,low,low
BHLHE40,AACS,leukocytes,,,,BHLHE40 IP - GM12878 cells,,BHLHE40 -> AACS,2,2,low,low
BHLHE40,AACS,liver,,,,BHLHE40 IP - HepG2 cells,,BHLHE40 -> AACS,2,2,low,low
CEBPA,AACS,adiposetissue,,,,CEBPA ChIP-Seq,24198249,CEBPA -> AACS,2,2,low,low
CEBPA,AACS,leukocytes,,,,CEBPA IP,24198249,CEBPA -> AACS,2,2,low,low
CEBPB,AACS,colon,,,,"CEBPB IP, CEBPB IP - HCT116 cells",24198249,CEBPB -> AACS,6,6,medium,medium
CEBPB,AACS,leukocytes,,,,"CEBPB ChIP-Seq - K562, CEBPB IP",,CEBPB -> AACS,6,6,medium,medium
CEBPB,AACS,liver,,,,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells",,CEBPB -> AACS,6,6,medium,medium
CEBPB,AACS,lung,,,,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90",,CEBPB -> AACS,6,6,medium,medium
CEBPB,AACS,stemcells,,,,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP",,CEBPB -> AACS,6,6,medium,medium
CEBPB,AACS,uterus,,,,CEBPB ChIP-Seq - HeLaS3,,CEBPB -> AACS,6,6,medium,medium
CREB1,AACS,leukocytes,,,,CREB1 IP - GM12878 cells,24076218,CREB1 -> AACS,5,5,medium,medium
CREB1,AACS,liver,,,,"CREB1 IP, CREB1 IP - HepG2 cells",,CREB1 -> AACS,5,5,medium,medium
CREB1,AACS,lung,,,,CREB1 IP | DEX - A549 cells,24076218,CREB1 -> AACS,5,5,medium,medium
CREB1,AACS,prostate,,,,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 2",26743006,CREB1 -> AACS,5,5,medium,medium
CREB1,AACS,stemcells,,,,CREB1 IP - H1 cells,24076218,CREB1 -> AACS,5,5,medium,medium
CTCF,AACS,adiposetissue,,,,CTCF ChIP-Seq - d 9,25093444,CTCF -> AACS,9,15,high,high
CTCF,AACS,bone,,,,CTCF IP - Osteoblasts,22955616,CTCF -> AACS,9,15,high,high
CTCF,AACS,cns,,,,"CTCF IP - SK-N-SH cells , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - BE(2)-C cells, Rep 2 , CTCF IP - SK cells, CTCF IP - BE(2)-C cells, Rep 1",,CTCF -> AACS,9,15,high,high
CTCF,AACS,colon,,,,"CTCF IP - Caco-2 cells, Rep 1",22955980,CTCF -> AACS,9,15,high,high
CTCF,AACS,kidney,,,,"CTCF IP - HEK293 cells, Rep 1 , CTCF IP - HRE cells, Rep 1",,CTCF -> AACS,9,15,high,high
CTCF,AACS,leukocytes,,,,"CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM18526 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM18486 cells, Rep 2 , CTCF IP, CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 2",,CTCF -> AACS,9,15,high,high
CTCF,AACS,liver,,,,"CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells , CTCF IP",,CTCF -> AACS,9,15,high,high
CTCF,AACS,lung,,,,"CTCF IP - A549 cells , CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells, CTCF IP - A549 cells, Rep 1 , CTCF IP - A549 cells, Rep 2",,CTCF -> AACS,9,15,high,high
CTCF,AACS,mammarygland,,,,CTCF IP - MCF7 cells,,CTCF -> AACS,9,15,high,high
CTCF,AACS,miscellaneous,,,,"CTCF IP - AG09319 cells, Rep 1",22955980,CTCF -> AACS,9,15,high,high
CTCF,AACS,sensory,,,,"CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2",,CTCF -> AACS,9,15,high,high
CTCF,AACS,skeletalmuscle,,,,"CTCF IP - HSMM cells, Rep 2 , CTCF IP - HSMM cells, Rep 1",,CTCF -> AACS,9,15,high,high
CTCF,AACS,skin,,,,"CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2",,CTCF -> AACS,9,15,high,high
CTCF,AACS,stemcells,,,,"CTCF IP - Rep 5 , CTCF IP - H1 cells, CTCF IP - Rep 1 , CTCF IP - H1 cells",,CTCF -> AACS,9,15,high,high
CTCF,AACS,vasculature,,,,"CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 2",,CTCF -> AACS,9,15,high,high
E2F1,AACS,mammarygland,,,,E2F1 IP - MCF7 cells,,E2F1 -> AACS,2,3,low,low
E2F1,AACS,prostate,,,,"HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1",,E2F1 -> AACS,2,3,low,low
E2F1,AACS,uterus,,,,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1",,E2F1 -> AACS,2,3,low,low
E2F6,AACS,leukocytes,,,,E2F6 IP - K562 cells,24076218,E2F6 -> AACS,2,2,low,low
E2F6,AACS,stemcells,,,,E2F6 IP - H1 cells,24076218,E2F6 -> AACS,2,2,low,low
EBF1,AACS,leukocytes,,,,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells",,EBF1 -> AACS,1,1,low,low
EGR1,AACS,colon,,,,EGR1 IP - HCT116 cells,24076218,EGR1 -> AACS,1,1,low,low
ELF1,AACS,colon,,,,ELF1 IP - HCT116 cells,,ELF1 -> AACS,4,4,medium,medium
ELF1,AACS,leukocytes,,,,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells",,ELF1 -> AACS,4,4,medium,medium
ELF1,AACS,liver,,,,ELF1 IP - HepG2 cells,,ELF1 -> AACS,4,4,medium,medium
ELF1,AACS,mammarygland,,,,ELF1 IP - MCF7 cells,,ELF1 -> AACS,4,4,medium,medium
ELK1,AACS,uterus,,,,ELK1 IP - HeLa cells,,ELK1 -> AACS,1,1,low,low
ELK4,AACS,uterus,,,,ELK4 IP - HeLa cells,,ELK4 -> AACS,1,1,low,low
ERG,AACS,prostate,,,,"DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 2 h",,ERG -> AACS,1,1,low,low
ETS1,AACS,leukocytes,,,,"ETS1 IP - K562 cells, ETS1 IP",,ETS1 -> AACS,1,1,low,low
FOS,AACS,mammarygland,,,,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h",,FOS -> AACS,1,1,low,low
FOXA1,AACS,liver,,,,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1",,FOXA1 -> AACS,5,6,medium,medium
FOXA1,AACS,lung,,,,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells",,FOXA1 -> AACS,5,6,medium,medium
FOXA1,AACS,mammarygland,,,,"DHT | FOXA1 ChIP-Seq, FOXA1 IP - T47D cells, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq - Rep 2",,FOXA1 -> AACS,5,6,medium,medium
FOXA1,AACS,pancreas,,,,"FOXA1 IP, FOXA1 IP",,FOXA1 -> AACS,5,6,medium,medium
FOXA1,AACS,prostate,,,,"CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD  | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - , DHT | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, EtOH | FOXA1 ChIP-Seq - Rep 2, R1881 | FOXA1 ChIP-Seq - Rep 1",,FOXA1 -> AACS,5,6,medium,medium
FOXA1,AACS,stemcells,,,,FOXA1 IP - Rep 5,,FOXA1 -> AACS,5,6,medium,medium
FOXA2,AACS,embryonictissue,,,,"FOXA2 IP - Rep 2, FOXA2 IP - Rep 1",,FOXA2 -> AACS,3,4,low,medium
FOXA2,AACS,liver,,,,FOXA2 IP - HepG2 cells,,FOXA2 -> AACS,3,4,low,medium
FOXA2,AACS,lung,,,,FOXA2 IP - A549 cells,,FOXA2 -> AACS,3,4,low,medium
FOXA2,AACS,stemcells,,,,"FOXA2 IP - Rep 5 , FOXA2 IP - ES D7, FOXA2 IP - ES D2",,FOXA2 -> AACS,3,4,low,medium
GABPA,AACS,liver,,,,"GABPA IP - MCF7 cells, GABPA IP - HepG2 cells",,GABPA -> AACS,2,2,low,low
GABPA,AACS,prostate,,,,"GABPA IP | R1881, GABPA IP - Rep 1",,GABPA -> AACS,2,2,low,low
GATA2,AACS,prostate,,,,"GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq",,GATA2 -> AACS,1,1,low,low
GATA4,AACS,stomach,,,,GATA4 IP - AGS,,GATA4 -> AACS,1,1,low,low
GTF2B,AACS,uterus,,,,GTF2B IP - Rep 2,,GTF2B -> AACS,1,1,low,low
HES6,AACS,prostate,,,,"HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1",,HES6 -> AACS,1,1,low,low
HEY1,AACS,leukocytes,,,,HEY1 IP - K562 cells,24076218,HEY1 -> AACS,2,2,low,low
HEY1,AACS,liver,,,,HEY1 IP - HepG2 cells,24076218,HEY1 -> AACS,2,2,low,low
HOXA4,AACS,colon,,,,HOXA4 IP,,HOXA4 -> AACS,1,1,low,low
IFNG,AACS,leukocytes,,,,"STAT1 IP - Rep 5, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 3",,IFNG -> AACS,1,1,low,low
IRF1,AACS,colon,,,,IRF1 IP,26769127,IRF1 -> AACS,1,1,low,low
IRF4,AACS,leukocytes,,,,IRF4 IP,23582323,IRF4 -> AACS,1,1,low,low
JUN,AACS,colon,,,,JUN IP,23953112,JUN -> AACS,1,1,low,low
JUND,AACS,colon,,,,JUND IP - HCT116 cells,24076218,JUND -> AACS,3,3,low,low
JUND,AACS,stemcells,,,,JUND IP - H1 cells,,JUND -> AACS,3,3,low,low
JUND,AACS,vasculature,,,,JUND IP,26020271,JUND -> AACS,3,3,low,low
